City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,273.76,64,75,9.77,CA,1682610033.9543905
1,xianning,29.8833,114.2167,291.49,77,65,0.79,CN,1682610033.9984877
2,edinburgh of the seven seas,-37.0676,-12.3116,290.43,77,97,8.64,SH,1682610034.0458343
3,yellowknife,62.456,-114.3525,273.46,100,100,4.63,CA,1682610034.0932534
4,aleksandrovsk-sakhalinskiy,50.8975,142.1561,273.4,99,100,1.61,RU,1682610034.1359096
5,aykhal,66.0,111.5,261.63,97,37,1.7,RU,1682610034.1825988
6,anadyr,64.75,177.4833,258.43,92,20,5.0,RU,1682610034.2145858
7,avarua,-21.2078,-159.775,297.18,78,20,2.57,CK,1682610034.2622895
8,port alfred,-33.5906,26.891,293.81,83,6,2.68,ZA,1682610034.2992935
9,dudinka,69.4058,86.1778,261.83,99,90,0.97,RU,1682610034.3486862
10,sarmiento,-45.5882,-69.07,286.1,30,100,4.82,AR,1682610034.4814413
11,port mathurin,-19.6833,63.4167,299.41,80,42,6.79,MU,1682610034.5270154
12,keflavik,64.0049,-22.5624,277.39,81,75,5.14,IS,1682610034.6164377
13,georgetown,5.4112,100.3354,301.11,89,40,1.03,MY,1682610034.6670024
14,papatowai,-46.5619,169.4708,282.13,93,1,1.56,NZ,1682610034.7081804
15,happy valley-goose bay,53.3168,-60.3315,279.32,65,40,2.06,CA,1682610034.7567196
16,stanley,54.868,-1.6985,285.21,65,20,3.09,GB,1682610034.8002906
17,barbastro,42.0356,0.1269,301.25,21,92,3.94,ES,1682610034.8463233
18,waingapu,-9.6567,120.2641,299.32,86,100,3.59,ID,1682610034.894946
19,kapuskasing,49.4169,-82.4331,277.15,70,100,3.09,CA,1682610034.9358544
20,waitangi,-43.9535,-176.5597,283.05,62,78,13.18,NZ,1682610034.9741824
21,port-aux-francais,-49.35,70.2167,278.31,67,96,11.29,TF,1682610035.0138462
22,qaqortoq,60.7167,-46.0333,275.97,74,89,3.47,GL,1682610035.1070836
23,kodiak,57.79,-152.4072,275.88,87,100,3.6,US,1682610035.147663
24,adamstown,-25.066,-130.1015,296.66,70,99,2.04,PN,1682610035.1854064
25,marat,25.0701,45.4615,302.27,21,0,2.22,SA,1682610035.2265015
26,san julian,21.0167,-102.1667,296.75,10,87,3.61,MX,1682610035.271002
27,talnakh,69.4865,88.3972,261.6,98,100,0.92,RU,1682610035.3108969
28,vorgashor,67.5833,63.95,266.65,89,63,7.06,RU,1682610035.3499303
29,san antonio la paz,14.7497,-90.2867,297.11,50,95,0.73,GT,1682610035.3943264
30,jining,35.405,116.5814,288.05,81,41,3.69,CN,1682610035.4382515
31,iqaluit,63.7506,-68.5145,273.0,86,75,6.17,CA,1682610035.482709
32,puerto natales,-51.7236,-72.4875,279.4,87,100,5.14,CL,1682610035.522865
33,ulladulla,-35.35,150.4667,288.19,81,0,3.2,AU,1682610035.5635483
34,yelizovo,53.1873,158.3805,276.23,52,0,1.0,RU,1682610035.6027246
35,ribeira grande,38.5167,-28.7,291.37,82,40,7.72,PT,1682610035.64876
36,ancud,-41.8697,-73.8203,283.25,94,100,1.9,CL,1682610035.7008693
37,udachny,66.4167,112.4,261.31,96,54,1.69,RU,1682610035.733644
38,margate,51.3813,1.3862,286.65,67,93,2.24,GB,1682610035.7906122
39,dhuusamarreeb,5.535,46.3861,305.56,46,56,7.29,SO,1682610035.8366475
40,lebu,-37.6167,-73.65,290.36,68,52,4.6,CL,1682610035.8718617
41,la'ie,21.6477,-157.9253,296.13,91,43,3.57,US,1682610035.9229858
42,quiberon,47.4841,-3.1196,289.93,93,100,0.45,FR,1682610035.9654975
43,port elizabeth,-33.918,25.5701,294.32,79,20,10.8,ZA,1682610036.0017889
44,nova sintra,14.8667,-24.7167,293.44,75,10,6.78,CV,1682610036.0487998
45,margaret river,-33.95,115.0667,285.74,72,64,3.92,AU,1682610036.089748
46,mariental,-24.6333,17.9667,298.2,44,47,12.07,NA,1682610036.1883745
47,albany,42.6001,-73.9662,283.96,77,93,0.31,US,1682610036.2580879
48,hamilton,39.1834,-84.5333,289.94,54,0,3.6,US,1682610036.3007329
49,tazovsky,67.4667,78.7,264.9,93,92,1.56,RU,1682610036.3342276
50,coquimbo,-29.9533,-71.3436,288.0,82,100,2.57,CL,1682610036.3831844
51,bedugul,-8.2847,115.1606,292.66,97,93,0.63,ID,1682610036.4227254
52,bethel,41.3712,-73.414,284.07,83,100,0.0,US,1682610036.4701722
53,rongelap,11.1635,166.8941,300.05,82,39,8.62,MH,1682610036.517955
54,kingston,17.997,-76.7936,304.4,70,58,0.89,JM,1682610036.556703
55,dalian,38.9122,121.6022,285.11,66,0,7.0,CN,1682610036.6007798
56,adrar,20.5022,-10.0711,311.48,6,0,5.31,MR,1682610036.6497102
57,klyuchi,52.2667,79.1667,290.14,44,100,3.74,RU,1682610036.6878324
58,chokwe,-24.5333,32.9833,299.86,52,0,4.09,MZ,1682610036.7238333
59,saint-philippe,-21.3585,55.7679,297.92,78,14,3.59,RE,1682610036.773201
60,cabo san lucas,22.8909,-109.9124,297.93,79,20,0.89,MX,1682610036.8184297
61,ust'-kulom,61.6864,53.6902,272.81,84,91,4.22,RU,1682610036.874201
62,balaklava,44.5,33.6,285.58,62,100,6.78,UA,1682610036.9162722
63,filadelfia,39.9523,-75.1638,286.77,80,100,2.57,US,1682610036.956327
64,orkney,-26.9802,26.6727,297.02,37,85,3.21,ZA,1682610036.990419
65,berdigestyakh,62.0989,126.6992,267.0,98,56,2.01,RU,1682610037.0349247
66,geraldton,-28.7667,114.6,288.38,72,0,5.66,AU,1682610037.0634701
67,hami,42.8,93.45,284.87,10,0,6.09,CN,1682610037.1151702
68,belmonte,-15.8631,-38.8828,301.98,59,12,3.29,BR,1682610037.1498058
69,selfoss,63.9331,-20.9971,275.4,96,100,2.29,IS,1682610037.1973958
70,cururupu,-1.8283,-44.8683,302.92,63,95,1.58,BR,1682610037.2804854
71,tibati,6.4667,12.6333,299.79,64,86,3.52,CM,1682610037.3306391
72,yuzhno-kurilsk,44.0306,145.8556,278.67,63,14,5.28,RU,1682610037.3819332
73,usinsk,65.9939,57.5281,269.53,87,57,8.28,RU,1682610037.4132147
74,bilibino,68.0546,166.4372,255.22,89,11,2.23,RU,1682610037.4686458
75,grytviken,-54.2811,-36.5092,276.35,92,46,4.24,GS,1682610037.5122333
76,concepcion del oro,24.6333,-101.4167,293.79,11,0,3.24,MX,1682610037.5585017
77,invercargill,-46.4,168.35,280.88,97,33,1.91,NZ,1682610037.6004717
78,clovis,36.8252,-119.7029,298.18,49,0,3.6,US,1682610037.6812458
79,college,64.8569,-147.8028,273.82,72,75,0.0,US,1682610037.726248
80,colonia,50.9333,6.95,291.38,38,0,2.57,DE,1682610037.7732513
81,isafjordur,66.0755,-23.124,274.17,51,40,6.17,IS,1682610037.821541
82,blackmans bay,-43.0167,147.3167,288.22,87,23,3.39,AU,1682610037.8749325
83,tiksi,71.6872,128.8694,259.49,86,5,1.81,RU,1682610037.9232569
84,east london,-33.0153,27.9116,294.67,78,0,5.66,ZA,1682610037.9627051
85,hateg,45.6167,22.95,283.58,54,74,3.83,RO,1682610038.0016046
86,bredasdorp,-34.5322,20.0403,290.04,68,99,4.44,ZA,1682610038.0418997
87,kununurra,-15.7667,128.7333,297.14,88,43,1.54,AU,1682610038.0831935
88,tokar,18.4254,37.729,302.49,63,34,4.35,SD,1682610038.1282144
89,saipan,15.1355,145.701,300.54,89,0,7.2,MP,1682610038.1733184
90,ilulissat,69.2167,-51.1,274.16,80,40,1.54,GL,1682610038.257087
91,qala i naw,34.9874,63.1289,295.09,23,0,1.45,AF,1682610038.2984605
92,mount pearl,47.5166,-52.7813,278.13,85,100,10.29,CA,1682610038.3388
93,jinchang,38.4953,102.1739,281.04,44,68,8.97,CN,1682610038.380647
94,zinjibar,13.1287,45.3807,303.92,62,63,0.32,YE,1682610038.4125488
95,lodja,-3.4833,23.4333,299.75,73,100,0.42,CD,1682610038.4694955
96,bardai,11.65,7.2333,306.91,25,85,3.2,NG,1682610038.5151947
97,lakatoro,-16.0999,167.4164,298.85,79,2,2.27,VU,1682610038.550607
98,yorkton,51.2167,-102.4677,280.06,61,0,5.14,CA,1682610038.5948665
99,fort st. john,56.2499,-120.8529,278.09,52,75,5.66,CA,1682610038.6424613
100,hermanus,-34.4187,19.2345,290.82,78,79,4.54,ZA,1682610038.6924973
101,karratha,-20.7377,116.8463,300.57,49,100,2.34,AU,1682610038.7331476
102,wanganui,-39.9333,175.05,279.59,94,2,2.96,NZ,1682610038.78514
103,mamuju,-2.6748,118.8885,299.74,81,98,1.64,ID,1682610038.825164
104,thompson,55.7435,-97.8558,274.24,64,0,6.69,CA,1682610038.9158957
105,banjarmasin,-3.3244,114.591,299.23,95,100,0.89,ID,1682610038.9533079
106,reuleuet,5.2167,96.2833,300.27,82,100,1.51,ID,1682610039.005405
107,longyearbyen,78.2186,15.6401,271.06,69,0,5.14,SJ,1682610039.0457652
108,saint-francois,46.4154,3.9054,294.84,46,0,2.06,FR,1682610039.0865924
109,ulety,51.3572,112.4849,273.0,77,95,1.47,RU,1682610039.1363356
110,visakhapatnam,17.69,83.2093,300.09,61,40,1.54,IN,1682610039.168202
111,pisco,-13.7,-76.2167,297.18,78,7,3.09,PE,1682610039.219563
112,kolda,12.8833,-14.95,313.32,21,0,4.12,SN,1682610039.2672393
113,wailua homesteads,22.0669,-159.378,292.39,82,0,4.12,US,1682610039.3030975
114,iskateley,67.6803,53.1512,270.38,87,100,5.57,RU,1682610039.35104
115,kone,-21.0595,164.8658,294.08,91,11,2.14,NC,1682610039.3845131
116,remire-montjoly,4.9167,-52.2667,300.17,89,75,2.06,GF,1682610039.4935
117,punta arenas,-53.15,-70.9167,281.21,61,20,13.38,CL,1682610039.537899
118,la paz,-16.5,-68.15,288.14,34,20,1.79,BO,1682610039.582783
119,saint-joseph,-21.3667,55.6167,297.36,79,14,2.57,RE,1682610039.6324658
120,callao,-12.0667,-77.15,299.31,65,0,4.63,PE,1682610039.6688135
121,preobrazheniye,42.9019,133.9064,278.37,91,65,3.67,RU,1682610039.7013175
122,carnarvon,-24.8667,113.6333,294.44,57,49,10.18,AU,1682610039.7558897
123,haiku-pauwela,20.9219,-156.3051,294.84,89,100,3.09,US,1682610039.8064222
124,new norfolk,-42.7826,147.0587,288.87,68,58,0.69,AU,1682610039.8481593
125,lazaro cardenas,17.9583,-102.2,301.39,55,66,1.75,MX,1682610039.8848627
126,carbonear,47.7332,-53.2148,278.84,74,11,7.35,CA,1682610039.9304128
127,polyarnyy,69.1989,33.4478,274.83,86,37,7.27,RU,1682610039.975183
128,mar del plata,-38.0023,-57.5575,295.28,73,20,2.57,AR,1682610040.022437
129,olonkinbyen,70.9221,-8.7187,272.03,95,100,9.88,SJ,1682610040.0634227
130,ust'-ilimsk,58.0006,102.6619,269.71,96,34,2.08,RU,1682610040.1108696
131,chernomorskoye,45.5039,32.6997,284.21,88,100,8.34,UA,1682610040.1480627
132,holualoa,19.6228,-155.9522,293.06,91,0,2.24,US,1682610040.1963897
133,nadym,65.5333,72.5167,268.28,92,83,6.08,RU,1682610040.2492337
134,vila velha,-20.3297,-40.2925,305.12,66,20,4.12,BR,1682610040.3428097
135,kiuruvesi,63.65,26.6167,277.63,97,100,2.76,FI,1682610040.3864925
136,morehead city,34.7229,-76.726,294.28,77,100,3.6,US,1682610040.4287174
137,gazojak,41.1875,61.4036,297.94,8,0,4.77,TM,1682610040.476121
138,boa vista,2.8197,-60.6733,301.14,69,40,2.57,BR,1682610040.5143168
139,fort bragg,35.139,-79.006,290.9,89,100,3.09,US,1682610040.5614898
140,egilsstadir,65.2653,-14.3948,273.1,47,75,4.12,IS,1682610040.5956454
141,alofi,-19.0595,-169.9187,297.09,100,100,1.54,NU,1682610040.6439683
142,kuanda,56.3161,116.0806,270.42,72,29,0.65,RU,1682610040.9517224
143,santander,43.4647,-3.8044,296.88,95,0,2.06,ES,1682610040.998004
144,likiep,9.8251,169.3107,300.12,81,96,7.07,MH,1682610041.0452068
145,belyy yar,53.6039,91.3903,282.09,87,40,5.0,RU,1682610041.0946777
146,west island,-12.1568,96.8225,300.14,89,75,6.69,CC,1682610041.134707
147,ciudad lazaro cardenas,17.9583,-102.2,301.39,55,66,1.75,MX,1682610041.16589
148,roma,43.2128,-75.4557,285.58,46,4,0.39,US,1682610041.2115943
149,brisas de zicatela,15.8369,-97.0419,301.44,74,0,0.0,MX,1682610041.2591255
150,chonchi,-42.6128,-73.8092,283.22,92,100,1.08,CL,1682610041.2937076
151,bratske,47.865,31.5731,281.34,81,99,7.12,UA,1682610041.3474243
152,tralee,52.2704,-9.7026,288.29,77,75,5.14,IE,1682610041.3961732
153,aasiaat,68.7098,-52.8699,272.18,87,96,3.64,GL,1682610041.432114
154,villa de cos,23.2833,-102.35,295.74,10,0,4.74,MX,1682610041.4857137
155,hassi messaoud,31.6804,6.0729,310.07,7,0,2.57,DZ,1682610041.5259576
156,mangawan,24.6833,81.55,305.37,20,67,0.28,IN,1682610041.5817842
157,jamestown,42.097,-79.2353,285.38,48,0,3.09,US,1682610041.6169407
158,arkalyk,50.2486,66.9114,292.41,31,51,2.68,KZ,1682610041.6630762
159,guarapari,-20.6667,-40.4975,304.2,63,9,3.21,BR,1682610041.7187233
160,tahe,52.3333,124.7333,272.83,57,52,0.59,CN,1682610041.7755973
161,xinzhou,38.4092,112.7333,284.48,67,100,0.69,CN,1682610041.8244267
162,gilgit,35.9221,74.3087,288.37,60,100,2.78,PK,1682610041.867934
163,hilo,19.7297,-155.09,297.19,83,100,2.06,US,1682610041.9115574
164,fort mcmurray,56.7268,-111.381,277.92,75,0,1.54,CA,1682610041.9559126
165,ak'ordat,15.5486,37.8867,308.35,20,40,4.91,ER,1682610041.996549
166,inhambane,-23.865,35.3833,300.14,74,20,3.09,MZ,1682610042.0393448
167,el porvenir,13.7617,-87.3458,300.78,59,100,1.89,HN,1682610042.0877237
168,crane,31.3974,-102.3501,288.97,39,0,4.45,US,1682610042.1804364
169,tsiombe,-25.3,45.4833,293.68,82,30,3.12,MG,1682610042.2256494
170,zhangye,38.9342,100.4517,277.67,46,97,12.17,CN,1682610042.2734103
171,tamanrasset,22.785,5.5228,306.1,7,40,8.23,DZ,1682610042.3127034
172,mahina,-17.5065,-149.489,298.02,83,20,1.54,PF,1682610042.3522398
173,vertientes,21.2594,-78.1464,302.49,42,100,3.55,CU,1682610042.395013
174,baoding,38.8511,115.4903,287.22,89,100,1.72,CN,1682610042.4338784
175,polyany,54.7122,39.8231,289.03,62,58,1.87,RU,1682610042.477309
176,vorkuta,67.5,64.0,266.77,89,67,6.87,RU,1682610042.516357
177,al qusiyah,27.4402,30.8184,306.3,14,0,4.98,EG,1682610042.548749
178,lesosibirsk,58.2358,92.4828,274.25,99,100,2.71,RU,1682610042.5968614
179,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,52,0,1.0,RU,1682610042.6469126
